# 298 checkpoints, total 149.68 TB (149,675,743,140,895 bytes)
#           bytes	       GB	path
   309963234982	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p2-wd0p01_wu0p03-qwen3-0.6b-aaf768/
   309963234555	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p1-lr5e-6_bs32-qwen3-0.6b-c3187f/
   309963231805	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p2-wd0p05_wu0p03-qwen3-0.6b-c47343/
   309963226067	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p2-wd0p001_wu0p03-qwen3-0.6b-6746a9/
   309963212612	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p2-wd0p1_wu0p0-qwen3-0.6b-43e3f1/
   309963206905	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p2-wd0p001_wu0p0-qwen3-0.6b-9e69d5/
   309963205456	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p1-lr3e-6_bs32-qwen3-0.6b-9aa3d5/
   309963205370	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p2-wd0p1_wu0p1-qwen3-0.6b-11723f/
   309963191022	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p2-wd0p05_wu0p0-qwen3-0.6b-20fb5d/
   309963189117	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p1-lr1e-6_bs32-qwen3-0.6b-62677a/
   309963182618	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p2-wd0p001_wu0p1-qwen3-0.6b-799a59/
   309963182355	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p2-wd0p01_wu0p1-qwen3-0.6b-4c469d/
   289474244389	   289.47	gs://marin-us-central1/checkpoints/code-v3-p2-wd0p001_wu0p03-qwen3-0.6b-base-23b9e4/
   288505368248	   288.51	gs://marin-us-central1/checkpoints/code-v3-sweep-lr1e-4_bs16-qwen3-0.6b-base-d7efe6/
   288505364774	   288.51	gs://marin-us-central1/checkpoints/code-v3-p2-wd0p01_wu0p1-qwen3-0.6b-base-ed78da/
   288505354988	   288.51	gs://marin-us-central1/checkpoints/code-v3-p2-wd0p05_wu0p03-qwen3-0.6b-base-8e9bbc/
   288505351297	   288.51	gs://marin-us-central1/checkpoints/code-v3-sweep-lr3e-4_bs16-qwen3-0.6b-base-b48b1f/
   288505350059	   288.51	gs://marin-us-central1/checkpoints/code-v3-sweep-lr5e-6_bs16-qwen3-0.6b-base-fd432b/
   288505345765	   288.51	gs://marin-us-central1/checkpoints/code-v3-p2-wd0p001_wu0p0-qwen3-0.6b-base-3839be/
   288505338998	   288.51	gs://marin-us-central1/checkpoints/code-v3-sweep-lr3e-5_bs16-qwen3-0.6b-base-71c63c/
   288505338894	   288.51	gs://marin-us-central1/checkpoints/code-v3-sweep-lr1e-5_bs16-qwen3-0.6b-base-009e33/
   288505338884	   288.51	gs://marin-us-central1/checkpoints/code-v3-p2-wd0p1_wu0p0-qwen3-0.6b-base-c12ea8/
   288505337364	   288.51	gs://marin-us-central1/checkpoints/code-v3-p2-wd0p05_wu0p1-qwen3-0.6b-base-c2c044/
   288505334668	   288.51	gs://marin-us-central1/checkpoints/code-v3-sweep-lr5e-5_bs16-qwen3-0.6b-base-a31593/
   288505333546	   288.51	gs://marin-us-central1/checkpoints/code-v3-p2-wd0p1_wu0p1-qwen3-0.6b-base-f680b1/
   288505322563	   288.51	gs://marin-us-central1/checkpoints/code-v3-p2-wd0p01_wu0p0-qwen3-0.6b-base-b397aa/
   288505320705	   288.51	gs://marin-us-central1/checkpoints/code-v3-p2-wd0p05_wu0p0-qwen3-0.6b-base-ccd55d/
   288505316455	   288.51	gs://marin-us-central1/checkpoints/code-v3-p2-wd0p01_wu0p03-qwen3-0.6b-base-85366f/
   288505305226	   288.51	gs://marin-us-central1/checkpoints/code-v3-p2-wd0p001_wu0p1-qwen3-0.6b-base-a26bca/
   288505296971	   288.51	gs://marin-us-central1/checkpoints/code-v3-p2-wd0p1_wu0p03-qwen3-0.6b-base-194bd4/
   282409700045	   282.41	gs://marin-us-central1/checkpoints/math-top3-extract-lr1e-7_bs16-qwen3-0.6b-base-98f32d/
   281352741830	   281.35	gs://marin-us-central1/checkpoints/math-top3-extract-lr2e-6_bs16-qwen3-0.6b-base-d8394a/
   281352715338	   281.35	gs://marin-us-central1/checkpoints/math-top3-extract-lr5e-6_bs16-qwen3-0.6b-base-f9c5d6/
   281352705014	   281.35	gs://marin-us-central1/checkpoints/math-top3-extract-lr5e-7_bs16-qwen3-0.6b-base-4920ab/
